model,cv_seed,fold,balanced_accuracy,f1_macro,log_loss,roc_auc,fit_seconds
hist_gbdt_select80,11,1,0.488562091503268,0.4819078947368421,1.0174982057536395,0.5457516339869282,2.806271099998412
hist_gbdt_select80,11,2,0.5392156862745098,0.5333333333333333,1.2482322837864912,0.4836601307189542,0.1491457000010996
hist_gbdt_select80,11,3,0.488562091503268,0.4819078947368421,1.4519499677937684,0.4281045751633987,0.18409840000094846
hist_gbdt_select80,11,4,0.5588235294117647,0.5553618134263296,1.265387941944958,0.46366782006920415,0.1451087000023108
hist_gbdt_select80,11,5,0.6470588235294118,0.6458333333333333,1.0434193980376316,0.6124567474048442,0.2233258999985992
hist_gbdt_select80,22,1,0.5147058823529411,0.5142857142857142,1.0894669886371253,0.5065359477124183,0.20099750000008498
hist_gbdt_select80,22,2,0.5718954248366013,0.5714285714285714,1.3177941863511629,0.545751633986928,0.13848549999966053
hist_gbdt_select80,22,3,0.488562091503268,0.4819078947368421,1.190584756347904,0.48366013071895425,0.15742150000005495
hist_gbdt_select80,22,4,0.47058823529411764,0.4631578947368421,1.4504748935749787,0.39446366782006914,0.17023020000124234
hist_gbdt_select80,22,5,0.5588235294117647,0.5553618134263296,1.005080491869945,0.5813148788927336,0.15413510000144015
hist_gbdt_select80,33,1,0.37254901960784315,0.3709150326797386,1.142588791666988,0.43137254901960786,0.15694380000059027
hist_gbdt_select80,33,2,0.5179738562091504,0.5078577336641853,1.5343789665002097,0.4738562091503268,0.15632589999950142
hist_gbdt_select80,33,3,0.5441176470588236,0.542483660130719,1.1130250207947263,0.5522875816993464,0.15509039999960805
hist_gbdt_select80,33,4,0.5294117647058824,0.5142857142857142,0.9030174071814737,0.5570934256055363,0.1502638999991177
hist_gbdt_select80,33,5,0.5588235294117647,0.5584415584415584,0.9097008036704071,0.6124567474048442,0.21139380000022356
hist_gbdt_select80,44,1,0.4852941176470588,0.4852941176470588,1.268697462087599,0.45098039215686275,0.19451910000134376
hist_gbdt_select80,44,2,0.5375816993464052,0.5238095238095238,0.9745317986068146,0.630718954248366,0.16958809999778168
hist_gbdt_select80,44,3,0.5686274509803921,0.56575682382134,1.1484761719567689,0.5588235294117647,0.14766880000024685
hist_gbdt_select80,44,4,0.6176470588235294,0.6146469049694856,0.8741941404146192,0.6228373702422145,0.18118029999823193
hist_gbdt_select80,44,5,0.5294117647058824,0.5294117647058824,1.1491655495114732,0.4636678200692042,0.15457299999980023
hist_gbdt_select80,55,1,0.5718954248366013,0.5714285714285714,1.1703419334789638,0.5196078431372548,0.15291099999740254
hist_gbdt_select80,55,2,0.45588235294117646,0.45536445536445536,1.2001994811359338,0.38235294117647056,0.133141300000716
hist_gbdt_select80,55,3,0.45751633986928103,0.45714285714285713,1.2320708328359125,0.4901960784313726,0.15052080000168644
hist_gbdt_select80,55,4,0.47058823529411764,0.47058823529411764,1.0718183606739933,0.5501730103806228,0.13146319999941625
hist_gbdt_select80,55,5,0.6470588235294118,0.6458333333333333,1.1188343221087702,0.588235294117647,0.130479400002514
kanboost_e80_h3_s6_select80,11,1,0.6029411764705883,0.5970394736842105,0.6834804498473173,0.5849673202614378,1.9282710000006773
kanboost_e80_h3_s6_select80,11,2,0.5702614379084967,0.5700245700245701,0.6761661438830193,0.6143790849673203,0.5913598000006459
kanboost_e80_h3_s6_select80,11,3,0.40522875816993464,0.38183347350714886,0.7872906849590559,0.35947712418300654,0.6031689999981609
kanboost_e80_h3_s6_select80,11,4,0.411764705882353,0.3772893772893773,0.6988343487938434,0.48788927335640137,0.6109634999993432
kanboost_e80_h3_s6_select80,11,5,0.7058823529411764,0.7048611111111112,0.6669540094810039,0.6678200692041523,0.5661053000003449
kanboost_e80_h3_s6_select80,22,1,0.6045751633986928,0.5916666666666667,0.6651988006701258,0.6535947712418301,0.6019316000019899
kanboost_e80_h3_s6_select80,22,2,0.5147058823529411,0.5142857142857142,0.6959506302317099,0.542483660130719,0.5454424999988987
kanboost_e80_h3_s6_select80,22,3,0.5718954248366013,0.5714285714285714,0.6974362356740302,0.5163398692810458,0.5444658999986132
kanboost_e80_h3_s6_select80,22,4,0.4117647058823529,0.40350877192982454,0.7232973319322603,0.5086505190311418,0.5802800999990723
kanboost_e80_h3_s6_select80,22,5,0.5882352941176471,0.5882352941176471,0.6915267274797974,0.5294117647058824,0.6682790000013483
kanboost_e80_h3_s6_select80,33,1,0.48039215686274506,0.4642857142857143,0.7113655740651501,0.45424836601307184,0.6588681000030192
kanboost_e80_h3_s6_select80,33,2,0.4901960784313726,0.47500000000000003,0.695447249044025,0.5588235294117647,0.6553518000000622
kanboost_e80_h3_s6_select80,33,3,0.5735294117647058,0.5700245700245701,0.6720882426224297,0.6437908496732025,0.5964112000001478
kanboost_e80_h3_s6_select80,33,4,0.5882352941176471,0.5882352941176471,0.665353934475367,0.6470588235294117,0.5563180999997712
kanboost_e80_h3_s6_select80,33,5,0.47058823529411764,0.46875,0.6928231095471996,0.5709342560553633,0.6218712999980198
kanboost_e80_h3_s6_select80,44,1,0.5147058823529411,0.5142857142857142,0.7185526160899177,0.4575163398692811,0.7072787999968568
kanboost_e80_h3_s6_select80,44,2,0.5980392156862745,0.5970394736842105,0.6870952193017023,0.5882352941176471,0.7240743000002112
kanboost_e80_h3_s6_select80,44,3,0.542483660130719,0.542483660130719,0.6608253644463239,0.6666666666666667,0.6046662999979162
kanboost_e80_h3_s6_select80,44,4,0.5,0.49956709956709955,0.6912165860153865,0.5536332179930796,0.7977040000005218
kanboost_e80_h3_s6_select80,44,5,0.5294117647058824,0.5277777777777778,0.7039540996359078,0.5155709342560555,0.636738899996999
kanboost_e80_h3_s6_select80,55,1,0.6290849673202614,0.6285714285714286,0.6807130779135628,0.5718954248366013,0.6925840000003518
kanboost_e80_h3_s6_select80,55,2,0.48366013071895425,0.4819078947368421,0.7202145472309164,0.4509803921568627,0.7411123999991105
kanboost_e80_h3_s6_select80,55,3,0.4852941176470588,0.4852941176470588,0.718651874687913,0.4771241830065359,0.5901961000017764
kanboost_e80_h3_s6_select80,55,4,0.5588235294117647,0.5584415584415584,0.6611382351766718,0.6401384083044983,0.5640897999983281
kanboost_e80_h3_s6_select80,55,5,0.5588235294117647,0.5553618134263296,0.6738788319591603,0.6332179930795848,0.6001489000009315
