model,cv_seed,fold,threshold,balanced_accuracy,f1_macro,log_loss,roc_auc,fit_seconds
hist_gbdt_raw_t0p5,11,1,0.5,0.45,0.4484848484848485,0.9841926454505252,0.5750000000000001,0.0
hist_gbdt_raw_t0p5,11,2,0.5,0.8333333333333333,0.8375,0.7104903248276423,0.7619047619047619,0.0
hist_gbdt_raw_t0p5,11,3,0.5,0.5952380952380952,0.5751633986928104,1.1054318371313794,0.6428571428571429,0.0
hist_gbdt_raw_t0p5,11,4,0.5,0.7619047619047619,0.7636363636363637,0.73243845126363,0.7142857142857143,0.0
hist_gbdt_raw_t0p5,11,5,0.5,0.6071428571428572,0.606060606060606,0.7347914241275763,0.6904761904761906,0.0
hist_gbdt_raw_t0p5,22,1,0.5,0.5875,0.5357142857142857,1.3693092942888516,0.55,0.0
hist_gbdt_raw_t0p5,22,2,0.5,0.5952380952380952,0.5751633986928104,0.9437168075602723,0.7380952380952381,0.0
hist_gbdt_raw_t0p5,22,3,0.5,0.7619047619047619,0.7636363636363637,0.5481239199526631,0.7857142857142857,0.0
hist_gbdt_raw_t0p5,22,4,0.5,0.7738095238095238,0.7692307692307693,0.5082756266912434,0.8571428571428572,0.0
hist_gbdt_raw_t0p5,22,5,0.5,0.75,0.7450980392156863,0.9610475561385888,0.7857142857142857,0.0
hist_gbdt_raw_t0p5,33,1,0.5,0.575,0.5751633986928104,1.220355788357831,0.6,0.0
hist_gbdt_raw_t0p5,33,2,0.5,0.5238095238095238,0.5125,0.6680790810501451,0.7380952380952381,0.0
hist_gbdt_raw_t0p5,33,3,0.5,0.7738095238095238,0.7692307692307693,0.4940230197805168,0.8571428571428572,0.0
hist_gbdt_raw_t0p5,33,4,0.5,0.6904761904761905,0.6904761904761905,0.8823862839214489,0.6904761904761905,0.0
hist_gbdt_raw_t0p5,33,5,0.5,0.6904761904761905,0.6904761904761905,0.9804990036050055,0.6666666666666666,0.0
hist_gbdt_raw_t0p5,44,1,0.5,0.8125,0.7692307692307693,0.3490414394958789,0.925,0.0
hist_gbdt_raw_t0p5,44,2,0.5,0.5357142857142857,0.5357142857142857,0.5662868137977715,0.7857142857142857,0.0
hist_gbdt_raw_t0p5,44,3,0.5,0.6785714285714286,0.675,0.7848845438409222,0.7142857142857142,0.0
hist_gbdt_raw_t0p5,44,4,0.5,0.6785714285714286,0.675,0.62662712624359,0.8571428571428571,0.0
hist_gbdt_raw_t0p5,44,5,0.5,0.6071428571428572,0.606060606060606,1.090054797825089,0.6666666666666667,0.0
hist_gbdt_raw_t0p5,55,1,0.5,0.6875,0.606060606060606,0.7542442535468875,0.95,0.0
hist_gbdt_raw_t0p5,55,2,0.5,0.6785714285714286,0.675,0.7520254693759184,0.6904761904761905,0.0
hist_gbdt_raw_t0p5,55,3,0.5,0.5357142857142857,0.5357142857142857,0.8773805918580686,0.7142857142857143,0.0
hist_gbdt_raw_t0p5,55,4,0.5,0.75,0.7450980392156863,0.4560411281477744,0.9761904761904763,0.0
hist_gbdt_raw_t0p5,55,5,0.5,0.8333333333333333,0.8375,0.5493954684631623,0.8571428571428572,0.0
kanboost_bandpower_inner_global,11,1,0.55,0.7125,0.6904761904761905,0.6592000603716278,0.675,0.5072680999983277
kanboost_bandpower_inner_global,11,2,0.48,0.6785714285714286,0.675,0.605671006360455,0.7142857142857143,0.5302921000002243
kanboost_bandpower_inner_global,11,3,0.4,0.7619047619047619,0.7636363636363637,0.4696245792181156,0.9523809523809524,0.49099910000222735
kanboost_bandpower_inner_global,11,4,0.39,0.6309523809523809,0.606060606060606,0.6946636202094683,0.5714285714285714,0.48044799999843235
kanboost_bandpower_inner_global,11,5,0.52,0.7023809523809523,0.6904761904761905,0.5577245670007951,0.8095238095238095,0.49967349999860744
kanboost_bandpower_inner_global,22,1,0.5,0.65,0.6153846153846154,0.7800690203787621,0.525,0.47909269999945536
kanboost_bandpower_inner_global,22,2,0.5,0.75,0.7450980392156863,0.47141259544433106,0.9285714285714286,0.5088493000002927
kanboost_bandpower_inner_global,22,3,0.41,0.7142857142857143,0.675,0.5263137119036563,0.8571428571428571,0.4951509000020451
kanboost_bandpower_inner_global,22,4,0.41,1.0,1.0,0.40027173328405125,1.0,0.47460530000171275
kanboost_bandpower_inner_global,22,5,0.42,0.75,0.7450980392156863,0.6045012064717556,0.761904761904762,0.5361512000017683
kanboost_bandpower_inner_global,33,1,0.5,0.575,0.5751633986928104,0.7213267880343436,0.55,0.5147723999980371
kanboost_bandpower_inner_global,33,2,0.56,0.6785714285714286,0.675,0.5468451204572121,0.8095238095238095,0.5081027999985963
kanboost_bandpower_inner_global,33,3,0.5,0.8333333333333333,0.8375,0.4860689454285062,0.8809523809523809,0.5008534000007785
kanboost_bandpower_inner_global,33,4,0.38,0.8571428571428572,0.8452380952380952,0.5042604073139423,0.8809523809523809,0.4835339000019303
kanboost_bandpower_inner_global,33,5,0.36,0.7023809523809523,0.6904761904761905,0.5341967025892443,0.8571428571428572,0.4798609999998007
kanboost_bandpower_inner_global,44,1,0.57,0.8,0.8194444444444444,0.47019083663039385,0.9,0.49003690000245115
kanboost_bandpower_inner_global,44,2,0.48,0.7023809523809523,0.6904761904761905,0.5342201191885532,0.8571428571428572,0.5055818000000727
kanboost_bandpower_inner_global,44,3,0.39,0.6190476190476191,0.6153846153846154,0.5949646221230647,0.738095238095238,0.4952601000004506
kanboost_bandpower_inner_global,44,4,0.39,0.6190476190476191,0.6153846153846154,0.616002710658762,0.738095238095238,0.5018124999987776
kanboost_bandpower_inner_global,44,5,0.42,0.45238095238095233,0.4484848484848485,0.8401562672833146,0.5476190476190477,0.5032365000006394
kanboost_bandpower_inner_global,55,1,0.36,0.6875,0.606060606060606,0.49505318217739125,0.875,0.5024155999999493
kanboost_bandpower_inner_global,55,2,0.5,0.5357142857142857,0.5357142857142857,0.6964281604531869,0.5952380952380952,0.4894717000024684
kanboost_bandpower_inner_global,55,3,0.54,0.5238095238095238,0.5125,0.6028740619498961,0.7142857142857142,0.4884457000007387
kanboost_bandpower_inner_global,55,4,0.43,0.9166666666666667,0.9212121212121211,0.4564253569498494,0.9761904761904763,0.5124584000004688
kanboost_bandpower_inner_global,55,5,0.43,0.7738095238095238,0.7692307692307693,0.5574005304135922,0.8095238095238095,0.48836089999895194
kanboost_combined_inner_global,11,1,0.37,0.65,0.6153846153846154,0.6387056452574166,0.75,0.4858825000010256
kanboost_combined_inner_global,11,2,0.45,0.7619047619047619,0.7636363636363637,0.5883262294826876,0.7857142857142858,0.516193999999814
kanboost_combined_inner_global,11,3,0.56,0.6666666666666666,0.6388888888888888,0.6004130652090379,0.7619047619047619,0.4953997000011441
kanboost_combined_inner_global,11,4,0.43,0.7857142857142857,0.7636363636363637,0.5428553045270123,0.7857142857142857,0.47210830000040005
kanboost_combined_inner_global,11,5,0.45,0.7023809523809523,0.6904761904761905,0.5743674078103408,0.7619047619047619,0.48912660000132746
kanboost_combined_inner_global,22,1,0.6,0.55,0.5357142857142857,0.6947432167680745,0.6,0.494303100000252
kanboost_combined_inner_global,22,2,0.38,0.7738095238095238,0.7692307692307693,0.5210749176988689,0.8333333333333333,0.4545241999985592
kanboost_combined_inner_global,22,3,0.45,0.7738095238095238,0.7692307692307693,0.4941452918037524,0.8809523809523809,0.4860482000003685
kanboost_combined_inner_global,22,4,0.36,0.7142857142857143,0.675,0.45362673919374213,0.9761904761904763,0.5343422000005376
kanboost_combined_inner_global,22,5,0.53,0.6666666666666666,0.6388888888888888,0.5298218438415524,0.8333333333333334,0.48691859999962617
kanboost_combined_inner_global,33,1,0.45,0.675,0.675,0.5721377488110294,0.725,0.504511499999353
kanboost_combined_inner_global,33,2,0.44,0.6190476190476191,0.6153846153846154,0.5556905310760084,0.7857142857142857,0.5061859000015829
kanboost_combined_inner_global,33,3,0.43,0.6785714285714286,0.675,0.5608823539412569,0.7619047619047619,0.5023521000002802
kanboost_combined_inner_global,33,4,0.44,0.7738095238095238,0.7692307692307693,0.6124295752617617,0.7619047619047619,0.5102389000021503
kanboost_combined_inner_global,33,5,0.46,0.7857142857142857,0.7636363636363637,0.5199508026219607,0.7619047619047619,0.5045470999975805
kanboost_combined_inner_global,44,1,0.41,0.7125,0.6904761904761905,0.48408716288898285,0.85,0.480071300000418
kanboost_combined_inner_global,44,2,0.35,0.7738095238095238,0.7692307692307693,0.4879773700185857,0.8809523809523809,0.4916166000002704
kanboost_combined_inner_global,44,3,0.5,0.6785714285714286,0.675,0.5663037489676458,0.8333333333333333,0.4902275999993435
kanboost_combined_inner_global,44,4,0.49,0.7619047619047619,0.7636363636363637,0.49148816330657014,0.9285714285714286,0.5229832000004535
kanboost_combined_inner_global,44,5,0.6,0.44047619047619047,0.40522875816993464,0.7257672006603999,0.6190476190476191,0.5073067999983323
kanboost_combined_inner_global,55,1,0.41,0.6875,0.606060606060606,0.5893838543051658,0.95,0.48387430000002496
kanboost_combined_inner_global,55,2,0.35,0.5595238095238095,0.5125,0.6018278424778537,0.7380952380952381,0.4865934000008565
kanboost_combined_inner_global,55,3,0.41,0.6904761904761905,0.6904761904761905,0.5979176522438275,0.7142857142857142,0.49730970000018715
kanboost_combined_inner_global,55,4,0.44,0.8333333333333333,0.8375,0.49201675613604695,0.9761904761904763,0.5045022000012978
kanboost_combined_inner_global,55,5,0.5,0.7619047619047619,0.7636363636363637,0.5519995475905115,0.8095238095238095,0.5104298000005656
